archivo,hoja,tienda,fila,articulo,texto,cantidad,folio,fecha,estado,no_despachar,color_celda
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,123,9872,15,15,,,ANULADO,45,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,123,9872,15,15,,,ANULADO,45,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,123,9872,15,15,,,ANULADO,45,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,124,,15/FACT 191826,15,191826,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,124,,15/FACT 191826,15,191826,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA04,124,,15/FACT 191826,15,191826,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,140,,15/fact 192800,15,192800,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,140,,15/fact 192800,15,192800,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,141,,15/fact 192800,15,192800,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,141,,15/fact 192800,15,192800,,LLEGO,,FFFFFF00
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,144,,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,144,,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,145,,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,145,,15,15,,,PENDIENTE,,
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,147,9892,15,15,,,ANULADO,15,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,148,,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,148,,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,155,9911,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,155,9911,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA02,156,,15,15,,,ANULADO,30,FFFF0000
INTERCO TEBES INVIERNO 2026.xlsx,Lista precios,PA03,156,,15,15,,,ANULADO,30,FFFF0000
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,14,1-BAMBINA-3,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,14,1-BAMBINA-3,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,14,1-BAMBINA-3,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,17,1-BAMBINA-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,17,1-BAMBINA-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,17,1-BAMBINA-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,22,1-BAMBINA-4,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,22,1-BAMBINA-4,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,22,1-BAMBINA-4,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,24,1-BAMBINA-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,62,1-JORDI-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,67,1-JORDI-2,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,94,1-PLATAFORM-7,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,94,1-PLATAFORM-7,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,97,1-PLATAFORM-8,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,97,1-PLATAFORM-8,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,103,1-PLATAFORM30,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,134,1-VITA-2,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,134,1-VITA-2,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,134,1-VITA-2,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,136,1-VITA-5,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,136,1-VITA-5,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,138,1-VITA-5,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,138,1-VITA-5,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,140,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,140,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,140,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,141,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,141,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,141,1-VITAON-5,12/FACT 9731,12,9731,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,155,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,155,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,155,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,157,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,157,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,159,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,159,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,159,5-COBNA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,161,5-COBNA-6,12,12,,,PENDIENTE,,theme0/0.00
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,161,5-COBNA-6,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,164,5-COSIMO-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,164,5-COSIMO-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,164,5-COSIMO-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,174,5-FASHION-71,12/fact 9927 23/02/2026,12,9927,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,174,5-FASHION-71,12/fact 9927 23/02/2026,12,9927,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,174,5-FASHION-71,12/fact 9927 23/02/2026,12,9927,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,176,5-FASHION-71,12/fact 9927 23/02/2026,12,9927,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,178,5-FASHION-81,12/fact 9927 23/02/2026,12,9927,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,192,5-PHANIE-14,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,225,7-TAP-25,12,12,,,PENDIENTE,,theme0/0.00
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,225,7-TAP-25,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,227,7-TAP-25,15/fact 10114 16/03/2026,15,10114,16/03/2026,LLEGO,,theme0/0.00
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,227,7-TAP-25,15/fact 10114 16/03/2026,15,10114,16/03/2026,LLEGO,,theme0/0.00
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,304,12-COLES-1,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,304,12-COLES-1,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,304,12-COLES-1,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,320,12-FLEXI-24,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,320,12-FLEXI-24,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,320,12-FLEXI-24,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,322,12-FLEXI-25,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,322,12-FLEXI-25,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,322,12-FLEXI-25,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,329,12-FLEXI-42,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,329,12-FLEXI-42,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,331,12-FLEXI-42,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,335,12-FLEXI-43,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,335,12-FLEXI-43,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,335,12-FLEXI-43,12/fact 9907 23/02/2026,12,9907,23/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,340,12-FLEXI-51,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,340,12-FLEXI-51,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,354,12-HOT-70,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,354,12-HOT-70,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,370,23-JETTIX-2,12/F 9685,12,9685,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,372,23-JETTIX-2,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,374,23-JETTIX-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,376,23-JETTIX-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,378,23-JOGGO-7,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,388,23-MATRIX-1,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,400,23-MEMPHI-2,12/F 9685,12,9685,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,400,23-MEMPHI-2,12/ FACT 9685,12,9685,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,404,23-MITSU-2,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,404,23-MITSU-2,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,406,23-MITSU-2,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,406,23-MITSU-2,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,492,36-DANAY-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,493,36-DANAY-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,504,36-MATTER-20,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,504,36-MATTER-20,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,541,36-RAYO-2,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,543,36-RAYO-3,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,565,37-ANDY-12,12/FACT 9859,12,9859,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,568,37-ANNIE-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,568,37-ANNIE-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,568,37-ANNIE-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,569,37-ANNIE-1,12/F 9685,12,9685,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,569,37-ANNIE-1,12/F 9685,12,9685,,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,583,37-JETTIXLOW1,12,12,,,PENDIENTE,,FF92D050
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,583,37-JETTIXLOW1,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,584,37-JETTIXLOW1,12,12,,,PENDIENTE,,FF92D050
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,588,37-PINGUIH-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,588,37-PINGUIH-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,590,37-PINGUIH-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,590,37-PINGUIH-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,592,37-PINGUIH-1,12/FACT 9859 16/02/2026,12,9859,16/02/2026,LLEGO,,FF92D050
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,623,38-AILEN-1,12/FACT 9859 16/02/2026,12,9859,16/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,624,38-AILEN-1,12/fact 10163 23/03/2026,12,10163,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,753,39-JOKA-2,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,755,39-JOKA-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,756,39-JOKA-3,12/fact 9981 02/03/2026,12,9981,02/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,769,46-COSTA-2,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,769,46-COSTA-2,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA02,771,46-COSTA-2,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA03,771,46-COSTA-2,12/fact 10182 23/03/2026,12,10182,23/03/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,816,51-BALDI-1,12/fact 9795 09/02/2026,12,9795,09/02/2026,LLEGO,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,844,51-BRUNA-3,12,12,,,PENDIENTE,,
LP CONSOLIDADO GILDA TEVEZ  INVIERNO 2026.xlsm,LP. CONSOLIDADO,PA04,847,51-BRUNA-3,12,12,,,PENDIENTE,,
