marca_catalogo,articulo_catalogo,estado,n_productos_bd,marcas_bd_encontradas,sucursales,ejemplo_descripcion,primera_creacion
ECCOFLEX,FM55SLIP-B,SIN MATCH,0,,,,
ECCOFLEX,FPS626,SIN MATCH,0,,,,
ECCOFLEX,KWF2502,SIN MATCH,0,,,,
ECCOFLEX,KWF2503,SIN MATCH,0,,,,
ECCOFLEX,KWF250327,SIN MATCH,0,,,,
ECCOFLEX,KWF250327-4,SIN MATCH,0,,,,
ECCOFLEX,KWF2504,SIN MATCH,0,,,,
ECCOFLEX,KWF2505,SIN MATCH,0,,,,
ECCOFLEX,KWF2506,SIN MATCH,0,,,,
ECCOFLEX,KWF2507,SIN MATCH,0,,,,
ECCOFLEX,KWF2508,SIN MATCH,0,,,,
ECCOFLEX,KWF2509,SIN MATCH,0,,,,
ECCOFLEX,ZGM57,SIN MATCH,0,,,,
FUNWAY,20-NEVADO-2,SIN MATCH,0,,,,
FUNWAY,20-OVO-1,SIN MATCH,0,,,,
FUNWAY,20-OVO-2,SIN MATCH,0,,,,
FUNWAY,20-POLAR-1,SIN MATCH,0,,,,
FUNWAY,20-PUCLARO-1,SIN MATCH,0,,,,
LONDON ADIXT,9754,SOLO ART,6,22 HORAS;FERRACINI;TRO;UNISPORT,EDEL;PAO2,SALDO BOOPS,2026-04-06
NATGEO,140089,SIN MATCH,0,,,,
NATGEO,140945,SIN MATCH,0,,,,
NATGEO,140995,SIN MATCH,0,,,,
NATGEO,141006,SIN MATCH,0,,,,
NATGEO,AMP-LB304,SIN MATCH,0,,,,
NATGEO,AMP-LB305,SIN MATCH,0,,,,
NATGEO,HK522722-A0,SIN MATCH,0,,,,
NATGEO,HK52279-90,SIN MATCH,0,,,,
NATGEO,HK523330-90,SIN MATCH,0,,,,
NATGEO,HK523330-A0,SIN MATCH,0,,,,
NATGEO,K2303,SIN MATCH,0,,,,
NATGEO,K23901,SIN MATCH,0,,,,
NATGEO,N221121,SIN MATCH,0,,,,
NATGEO,N22881,SIN MATCH,0,,,,
NATGEO,N23993,SIN MATCH,0,,,,
NEW WALK,101701A01,SIN MATCH,0,,,,
NEW WALK,101701A02,SIN MATCH,0,,,,
NEW WALK,1216-973,SIN MATCH,0,,,,
NEW WALK,18320-5C,SIN MATCH,0,,,,
NEW WALK,2232-125A,SIN MATCH,0,,,,
NEW WALK,229108-6,SIN MATCH,0,,,,
NEW WALK,229628-19,SIN MATCH,0,,,,
NEW WALK,2317-13,SIN MATCH,0,,,,
NEW WALK,2332-136,SIN MATCH,0,,,,
NEW WALK,2332-151,SIN MATCH,0,,,,
NEW WALK,2332-165,SIN MATCH,0,,,,
NEW WALK,2333-27,SIN MATCH,0,,,,
NEW WALK,60126-29,SIN MATCH,0,,,,
NEW WALK,88011-187,SIN MATCH,0,,,,
NEW WALK,8806-62,SIN MATCH,0,,,,
NEW WALK,89132-12,SIN MATCH,0,,,,
NEW WALK,89132-8,SIN MATCH,0,,,,
NEW WALK,9159-13,SIN MATCH,0,,,,
NEW WALK,9257-7,SIN MATCH,0,,,,
NEW WALK,9286-21,SIN MATCH,0,,,,
NEW WALK,9291-12,SIN MATCH,0,,,,
NEW WALK,9628-51,SIN MATCH,0,,,,
NEW WALK,AAQ91109,SIN MATCH,0,,,,
NEW WALK,ADIT-C-001,SIN MATCH,0,,,,
NEW WALK,ADIT-C-002,SIN MATCH,0,,,,
NEW WALK,ADIT-C-003,SIN MATCH,0,,,,
NEW WALK,ADIT-C-005,SIN MATCH,0,,,,
NEW WALK,ADIT-C-006,SIN MATCH,0,,,,
NEW WALK,ADIT-C-009,SIN MATCH,0,,,,
NEW WALK,ADIT-C-012,SIN MATCH,0,,,,
NEW WALK,ADIT-C-014,SIN MATCH,0,,,,
NEW WALK,BSD91219,SIN MATCH,0,,,,
NEW WALK,BSDX1103,SIN MATCH,0,,,,
NEW WALK,BSDX1111A,SIN MATCH,0,,,,
NEW WALK,C25F21012,SIN MATCH,0,,,,
NEW WALK,CDJ91107,SIN MATCH,0,,,,
NEW WALK,D2552-15,SIN MATCH,0,,,,
NEW WALK,DCA91125,SIN MATCH,0,,,,
NEW WALK,DCA91129,SIN MATCH,0,,,,
NEW WALK,DESPACHO INMEDIATO,SIN MATCH,0,,,,
NEW WALK,DZA91103,SIN MATCH,0,,,,
NEW WALK,DZA91111,SIN MATCH,0,,,,
NEW WALK,DZA91113,SIN MATCH,0,,,,
NEW WALK,F3BR29,SIN MATCH,0,,,,
NEW WALK,F3BR31,SIN MATCH,0,,,,
NEW WALK,FA4682,SIN MATCH,0,,,,
NEW WALK,FA5793-90,SIN MATCH,0,,,,
NEW WALK,FB7075,SIN MATCH,0,,,,
NEW WALK,FBA123,SIN MATCH,0,,,,
NEW WALK,FBC256-90,SIN MATCH,0,,,,
NEW WALK,FBC257,SIN MATCH,0,,,,
NEW WALK,FBK789,SIN MATCH,0,,,,
NEW WALK,FE1153,SIN MATCH,0,,,,
NEW WALK,FHB477,SIN MATCH,0,,,,
NEW WALK,FHB582,SIN MATCH,0,,,,
NEW WALK,FHH009,SIN MATCH,0,,,,
NEW WALK,FHH018,SIN MATCH,0,,,,
NEW WALK,FHH063,SIN MATCH,0,,,,
NEW WALK,FHH072,SIN MATCH,0,,,,
NEW WALK,FHH081,SIN MATCH,0,,,,
NEW WALK,FHH090,SIN MATCH,0,,,,
NEW WALK,FHS041,SIN MATCH,0,,,,
NEW WALK,FHS050,SIN MATCH,0,,,,
NEW WALK,FLIN65,SIN MATCH,0,,,,
NEW WALK,FLIN76,SIN MATCH,0,,,,
NEW WALK,FLIN85,SIN MATCH,0,,,,
NEW WALK,FM1240,SIN MATCH,0,,,,
NEW WALK,FM5456,SIN MATCH,0,,,,
NEW WALK,FM5641P,SIN MATCH,0,,,,
NEW WALK,FMC678,SIN MATCH,0,,,,
NEW WALK,FRIC18,SIN MATCH,0,,,,
NEW WALK,FRIC27,SIN MATCH,0,,,,
NEW WALK,FRIC36,SIN MATCH,0,,,,
NEW WALK,KW5864,SIN MATCH,0,,,,
NEW WALK,KWF2503276,SIN MATCH,0,,,,
NEW WALK,KWF2503278,SIN MATCH,0,,,,
NEW WALK,KWLA11-2501,SIN MATCH,0,,,,
NEW WALK,KWLA61-2504,SIN MATCH,0,,,,
NEW WALK,KWLA612506,SIN MATCH,0,,,,
NEW WALK,KWLA762512,SIN MATCH,0,,,,
NEW WALK,KWLA882504,SIN MATCH,0,,,,
NEW WALK,LRM003,SIN MATCH,0,,,,
NEW WALK,LRM004,SIN MATCH,0,,,,
NEW WALK,LRM808,SIN MATCH,0,,,,
NEW WALK,LRW282,SIN MATCH,0,,,,
NEW WALK,LRWM-049,SIN MATCH,0,,,,
NEW WALK,PB0101,SIN MATCH,0,,,,
NEW WALK,RH1926-33,SIN MATCH,0,,,,
NEW WALK,TAD96001,SIN MATCH,0,,,,
NEW WALK,TAD96005,SIN MATCH,0,,,,
NEW WALK,XAL92324,SIN MATCH,0,,,,
NEW WALK,XCA91101,SIN MATCH,0,,,,
NEW WALK,XCA91102,SIN MATCH,0,,,,
NEW WALK,YJ24-367,SIN MATCH,0,,,,
NEW WALK,ZM21-1212,SIN MATCH,0,,,,
NEW WALK,ZM22-1552,SIN MATCH,0,,,,
NEW WALK,ZM22-2233-40,SIN MATCH,0,,,,
NEW WALK,ZM22-2233-90,SIN MATCH,0,,,,
NEW WALK,ZM22-B822-90,SIN MATCH,0,,,,
NEW WALK,ZM23-AF17-40,SIN MATCH,0,,,,
NEW WALK,ZM23-Z10175,SIN MATCH,0,,,,
NEW WALK,ZM24-10123,SIN MATCH,0,,,,
NEW WALK,ZM24-11180,SIN MATCH,0,,,,
NEW WALK,ZM24-22610-90,SIN MATCH,0,,,,
NEW WALK,ZM24-22610-91,MARCA+ART,5,NEW WALK,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATO ADULTO,2025-08-11
NEW WALK,ZM24-M200,SIN MATCH,0,,,,
NEW WALK,ZM24-M26321,SIN MATCH,0,,,,
NEW WALK,ZM24-Z2510,SIN MATCH,0,,,,
PASSER,003,MARCA+ART,5,PASSER,EDEL;PAO1;PAO2,MOCASIN,2025-10-13
PASSER,032,MARCA+ART,4,PASSER,EDEL;PAO2;PAO3;PAO4,PUNTILLA,2024-08-12
PASSER,5142,SIN MATCH,0,,,,
PASSER,605,MARCA+ART,15,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,DESCANSO,2018-08-21
PASSER,629,MARCA+ART,15,PASSER,EDEL;EDEL FALLADOS;PAO1;PAO2;PAO3;PAO4,DESCANSO,2018-09-06
PASSER,648,MARCA+ART,14,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,BOTIN,2019-04-16
PASSER,658,MARCA+ART,17,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,DESCANSO,2020-01-02
PASSER,667,MARCA+ART,4,PASSER,EDEL;PAO2;PAO3;PAO4,DESCANSO,2024-03-25
PASSER,677,MARCA+ART,18,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,BOTIN,2019-04-16
PASSER,694,SIN MATCH,0,,,,
PASSER,717,MARCA+ART,16,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,DESCANSO,2018-08-23
PASSER,737,MARCA+ART,5,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,BOTIN,2020-03-09
PASSER,751,SOLO ART,2,ANDRA ROSSETI;RIPHOLIA,EDEL,BOTA,2026-04-15
PASSER,752,SOLO ART,2,RIPHOLIA;SPARTA,EDEL,SHORT,2026-04-15
PASSER,762,SIN MATCH,0,,,,
PASSER,775,MARCA+ART,7,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,DESCANSO,2024-03-25
PASSER,780,SOLO ART,2,DRIBLING;FOUR,EDEL,BALON FUTBOL #1,2026-04-15
PASSER,786,SIN MATCH,0,,,,
PASSER,816,MARCA+ART,4,PASSER,EDEL;PAO2;PAO3;PAO4,SANDALIA,2025-11-03
PASSER,820,SOLO ART,1,PAMMY,EDEL,DESCANSO,2026-04-15
PASSER,824,SOLO ART,4,BROOKS;CAMPING;VERONICA,EDEL,CHAQUETA CHILE T/6-T16,2026-04-15
PASSER,826,SIN MATCH,0,,,,
PASSER,834,SOLO ART,1,AZALEIA,EDEL,BOTA ZURICH,2026-04-15
PASSER,843,SIN MATCH,0,,,,
PASSER FOR MEN,921,MARCA+ART,15,PASSER,EDEL;PAO1;PAO2;PAO3;PAO4,DESCANSO,2018-10-17
PASSER FOR MEN,923,SOLO ART,1,ANDRA ROSSETI,EDEL,BOTIN,2026-04-15
PASSER FOR MEN,926,SIN MATCH,0,,,,
PASSER FOR MEN,931,SIN MATCH,0,,,,
UNISPORT,9028,MARCA+ART,15,UNISPORT,EDEL;PAO1;PAO2;PAO3;PAO4,ZAPATO,2024-09-16
UNISPORT,9872,SIN MATCH,0,,,,
UNISPORT,9876,MARCA+ART,10,UNISPORT,EDEL;NICK2;PAO1;PAO2;PAO3,BABY,2022-09-12
UNISPORT,9882,SIN MATCH,0,,,,
UNS,2936,SIN MATCH,0,,,,
UNS,2937,SIN MATCH,0,,,,
UNS,5878,SIN MATCH,0,,,,
UNS,9010,SOLO ART,5,ADIDAS;BUBBLE GUMMERS;FERRACINI;LA GEAR,EDEL,STOP&DISH,2026-04-15
UNS,9013,SOLO ART,4,FERRACINI,EDEL,BOTIN,2026-04-15
UNS,9751,SOLO ART,2,FERRACINI;VIA UNO,EDEL,ZAPATILLA,2026-04-15
UNS,9868,SIN MATCH,0,,,,
UNS,9884,SOLO ART,1,NIKE,EDEL,NIKE ROUBAIX,2026-04-15
UNS,9888,SOLO ART,6,UNISPORT,EDEL;PAO2;PAO3,ZAPATILLA URBANA,2026-04-06
UNS,9890,SIN MATCH,0,,,,
UNS,9892,SIN MATCH,0,,,,
UNS,9896,SOLO ART,1,TOPPER,EDEL,NEO VELCRO,2026-04-15
UNS,9911,SIN MATCH,0,,,,
UNS,9919,SIN MATCH,0,,,,
VERAZZI,2606-1,SIN MATCH,0,,,,
VERAZZI,2606-5,SIN MATCH,0,,,,
VERAZZI,2607-1,SIN MATCH,0,,,,
VERAZZI,2607-2,SIN MATCH,0,,,,
VERAZZI,2607-3,SIN MATCH,0,,,,
VERAZZI,HL25101,SIN MATCH,0,,,,
VERAZZI,K201218,SIN MATCH,0,,,,
VERAZZI,K22831,SIN MATCH,0,,,,
VERAZZI,K231238,SIN MATCH,0,,,,
VERAZZI,K23855,SIN MATCH,0,,,,
VERAZZI,SR24008,SIN MATCH,0,,,,
VERAZZI,SR24012,SIN MATCH,0,,,,
VERAZZI,SR25701,SIN MATCH,0,,,,
